Coleman,Hawkins,0,1,1,Illinois
Jayden,Epps,2,2,2,Illinois
Ty,Rodgers,0,3,2,Illinois
Terrence,Shannon,2,1,1,Illinois
RJ,Melendez,1,2,2,Illinois
Sencire,Harris,0,3,3,Illinois
Matthew,Mayer,0,2,1,Illinois
Dain,Dainia,0,2,2,Illinois
Skyy,Clark,24,2,1,Illinois
Luke,Goode,27,3,3,Illinois
Brandon,Lieb,15,4,4,Illinois
Trayce,Jackson-Davis,3,1,0,Indiana
Trey,Galloway,3,2,1,Indiana
Malik,Reneau,0,3,2,Indiana
Miller,Kopp,0,1,1,Indiana
Tamar,Bates,0,2,2,Indiana
Jordan,Geronimo,9,3,3,Indiana
Jalen,Hood-Schifino,3,1,0,Indiana
Race,Thompson,6,2,2,Indiana
Xavier,Johnson,27,2,1,Indiana
CJ,Gunn,14,4,3,Indiana
Kaleb,Banks,10,4,4,Indiana
Logan,Duncomb,23,4,4,Indiana
Filip,Rebraca,0,1,1,Iowa
Kris,Murray,5,1,0,Iowa
Connor,McCaffery,1,1,1,Iowa
Tony,Perkins,1,1,1,Iowa
Ahron,Ulis,1,2,2,Iowa
Payton,Sandfort,0,2,2,Iowa
Patrick,McCaffery,7,2,2,Iowa
Josh,Dix,2,4,3,Iowa
Dasonte,Bowen,7,4,3,Iowa
Josh,Ogundele,21,4,4,Iowa
Riley,Mulvey,19,5,4,Iowa
Hakim,Hart,0,1,1,Maryland
Donta,Scott,0,1,1,Maryland
Jahmir,Young,0,1,1,Maryland
Julian,Reese,1,2,1,Maryland
Donald,Carey,0,2,1,Maryland
Ian,Martinez,0,3,2,Maryland
Patrick,Emilien,3,3,2,Maryland
Jahari,Long,0,4,3,Maryland
Noah,Batchelor,12,4,4,Maryland
Ike,Cornish,12,4,4,Maryland
Caelum,Swanton-Rodger,11,4,3,Maryland
Kobe,Bufkin,1,1,0,Michigan
Hunter,Dickinson,0,1,1,Michigan
Dug,McDaniel,0,1,1,Michigan
Jett,Howard,6,1,1,Michigan
Terrance,Williams,2,2,1,Michigan
Joey,Baker,0,3,2,Michigan
Tarris,Reed,0,3,3,Michigan
Will,Tschetter,7,3,3,Michigan
